 Abastecimento de água - Brasil
Domicílios por Município e Ano
Período:1991, 2000, 2010
"150610 PRIMAVERA";3220;2041;2644
"150611 QUATIPURU";-;2288;3055
"150613 REDENCAO";11659;15040;19881
"150616 RIO MARIA";5416;4421;5155
"150618 RONDON DO PARA";8197;8888;12535
"150619 RUROPOLIS";3711;5177;9328
"150620 SALINOPOLIS";4159;6886;9078
"150630 SALVATERRA";2355;3214;5070
"150635 SANTA BARBARA DO PARA";-;2399;4460
"150640 SANTA CRUZ DO ARARI";872;967;1501
"150650 SANTA IZABEL DO PARA";6569;9569;15251
"150655 SANTA LUZIA DO PARA";-;3837;4645
"150658 SANTA MARIA DAS BARREIRAS";1445;2456;5141
"150660 SANTA MARIA DO PARA";3629;4798;6341
"150670 SANTANA DO ARAGUAIA";3363;7609;13832
"150680 SANTAREM";48771;53334;70015
"150690 SANTAREM NOVO";835;1108;1547
"150700 SANTO ANTONIO DO TAUA";3368;4343;6970
"150710 SAO CAETANO DE ODIVELAS";3818;3151;4239
"150715 SAO DOMINGOS DO ARAGUAIA";-;4227;6003
"150720 SAO DOMINGOS DO CAPIM";7576;5106;6404
"150730 SAO FELIX DO XINGU";4563;7480;22357
"150740 SAO FRANCISCO DO PARA";2276;3041;3935
"150745 SAO GERALDO DO ARAGUAIA";7519;6187;6827
"150746 SAO JOAO DA PONTA";-;836;1350
"150747 SAO JOAO DE PIRABAS";3060;3571;5043
"150750 SAO JOAO DO ARAGUAIA";3817;2446;3256
"150760 SAO MIGUEL DO GUAMA";6096;8646;12641
"150770 SAO SEBASTIAO DA BOA VISTA";2473;3112;4846
"150775 SAPUCAIA";-;934;1403
"150780 SENADOR JOSE PORFIRIO";4982;2958;3306
"150790 SOURE";3247;4045;5538
"150795 TAILANDIA";3473;7830;16511
"150796 TERRA ALTA";-;1696;2595
"150797 TERRA SANTA";-;2499;3617
"150800 TOME-ACU";7444;9439;13565
"150803 TRACUATEUA";-;4399;6482
"150805 TRAIRAO";-;2062;4027
"150808 TUCUMA";6230;5960;9450
"150810 TUCURUI";15692;15931;23548
"150812 ULIANOPOLIS";-;4147;8566
"150815 URUARA";4823;9679;11252
"150820 VIGIA";6487;8083;11797
"150830 VISEU";11543;9327;12358
